Symbol,Name,Definition
#CADO,CGS.AbsorbedDose,Rad
#CACC,CGS.Acceleration,Gal
#CDVI,CGS.DynamicViscosity,P
#CECU,CGS.ElectricCurrent,Bi
#CENE,CGS.Energy,erg
#CFOR,CGS.Force,dyn
#CKVI,CGS.KinematicViscosity,St
#CLEN,CGS.Length,cm
#CMFI,CGS.MagneticField,Oe
#CMFL,CGS.MagneticFlux,Mx
#CMFD,CGS.MagneticFluxDensity,G
#CMAS,CGS.Mass,g
#CPOW,CGS.Power,erg/s
#CPRE,CGS.Pressure,Ba
#CTIM,CGS.Time,s
#CVEL,CGS.Velocity,cm/s
#CWAV,CGS.Wavenumber,Ka
#CBMA,CGS.BohrMagneton,[mu_B]
#CCCO,CGS.CoulombConst,[k_e]
#CELC,CGS.ElementaryCharge,[e]
#CPBV,CGS.PermeabilityVacuum,[mu_0]
#CPTV,CGS.PermittivityVacuum,[eps_0]
